Name,State,Notes,User,Tags,Created,Runtime,Sweep,Accuracy,Average Inference Time (ms),Dataset Name,GPU Memory Usage (MB),Max Swap Memory Usage (MB),Model Size (MB)
bigscience/bloom-560m in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, boolq",2025-02-03T11:56:19.000Z,28,,38.3,21.562538004875183,boolq,2777.367188,0,2133.234375
bigscience/bloom-560m in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, social_i_qa",2025-02-03T11:55:47.000Z,25,,33.7,19.167457242012023,social_i_qa,2301.822266,0,2133.234375
bigscience/bloom-560m in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, bigscience/bloom-560m",2025-02-03T11:55:25.000Z,17,,26.31578947368421,20.034879843393963,allenai/ai2_arc,2359.264648,0,2133.234375
bigscience/bloom-560m in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, openbookqa",2025-02-03T11:55:04.000Z,15,,25.8,19.455399866104127,openbookqa,2317.698242,0,2133.234375
bigscience/bloom-560m in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, bigscience/bloom-560m, winogrande",2025-02-03T11:54:34.000Z,21,,49.3,15.205183480262756,winogrande,2229.556641,0,2133.234375
Qwen/Qwen2.5-0.5B in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, piqa",2025-02-03T11:52:59.000Z,30,,59.5,23.620272106170653,piqa,2211.804688,0,1884.585449
Qwen/Qwen2.5-0.5B in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, boolq",2025-02-03T11:52:23.000Z,31,,64.60000000000001,23.56722278213501,boolq,2216.65625,0,1884.585449
Qwen/Qwen2.5-0.5B in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, social_i_qa",2025-02-03T11:51:48.000Z,28,,52.3,21.64905576324463,social_i_qa,1980.136719,0,1884.585449
Qwen/Qwen2.5-0.5B in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, allenai/ai2_arc",2025-02-03T11:51:23.000Z,20,,62.80701754385965,23.638089591578435,allenai/ai2_arc,2011.066406,0,1884.585449
Qwen/Qwen2.5-0.5B in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, openbookqa",2025-02-03T11:51:01.000Z,17,,44.8,22.071912494659426,openbookqa,1985.642578,0,1884.585449
Qwen/Qwen2.5-0.5B in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen2.5-0.5B, winogrande",2025-02-03T11:50:25.000Z,28,,51.2,22.016044076919556,winogrande,1948.601563,0,1884.585449
Qwen/Qwen1.5-0.5B in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, piqa",2025-02-03T11:49:12.000Z,28,,53.2,21.33571377754211,piqa,2215.437988,0,1769.972656
Qwen/Qwen1.5-0.5B in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, boolq",2025-02-03T11:48:37.000Z,31,,59.7,23.74132431983948,boolq,2221.355957,0,1769.972656
Qwen/Qwen1.5-0.5B in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, social_i_qa",2025-02-03T11:48:02.000Z,28,,42.3,20.746675188064575,social_i_qa,1920.661621,0,1769.972656
Qwen/Qwen1.5-0.5B in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, allenai/ai2_arc",2025-02-03T11:47:39.000Z,19,,54.736842105263165,22.511921434235155,allenai/ai2_arc,1959.983398,0,1769.972656
Qwen/Qwen1.5-0.5B in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, openbookqa",2025-02-03T11:47:16.000Z,17,,42,21.410705474853515,openbookqa,1927.483887,0,1769.972656
Qwen/Qwen1.5-0.5B in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, Qwen/Qwen1.5-0.5B, winogrande",2025-02-03T11:46:44.000Z,25,,52.1,18.882486232757568,winogrande,1880.569824,0,1769.972656
ahxt/LiteLlama-460M-1T in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, piqa",2025-02-03T11:45:30.000Z,26,,49.3,19.931595764160157,piqa,1879.163086,0,1761.191406
ahxt/LiteLlama-460M-1T in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, boolq",2025-02-03T11:44:55.000Z,30,,38.1,22.30249779129028,boolq,1881.574707,0,1761.191406
ahxt/LiteLlama-460M-1T in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, social_i_qa",2025-02-03T11:44:21.000Z,27,,34,20.10083021736145,social_i_qa,1797.381348,0,1761.191406
ahxt/LiteLlama-460M-1T in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, allenai/ai2_arc",2025-02-03T11:43:59.000Z,18,,25.61403509,21.816314623648665,allenai/ai2_arc,1808.125,0,1761.191406
ahxt/LiteLlama-460M-1T in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, openbookqa",2025-02-03T11:43:37.000Z,15,,25.2,19.619966968536374,openbookqa,1799.793945,0,1761.191406
ahxt/LiteLlama-460M-1T in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, ahxt/LiteLlama-460M-1T, winogrande",2025-02-03T11:43:00.000Z,29,,49.3,21.59989549255371,winogrande,1785.323242,0,1761.191406
EleutherAI/pythia-410m in piqa,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T11:41:44.000Z,24,,49.2,17.540189134597778,piqa,1939.598145,0,1546.226563
EleutherAI/pythia-410m in boolq,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T11:41:14.000Z,25,,37.8,18.03238912010193,boolq,1942.633301,0,1546.226563
EleutherAI/pythia-410m in social_i_qa,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T11:40:46.000Z,21,,33.7,15.314717684745789,social_i_qa,1727.605469,0,1546.226563
EleutherAI/pythia-410m in allenai/ai2_arc,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T11:40:25.000Z,16,,26.31578947368421,17.73954964855261,allenai/ai2_arc,1751.444824,0,1546.226563
